a	b
600	1.002693e+00
1200	1.443909e+00
1800	2.225073e-01
2400	8.975910e-01
3000	7.286155e-01
3600	1.119639e+00
4200	1.593450e-01
4800	1.398286e+00
5400	3.296322e-02
6000	8.701524e-01
6600	4.233029e-03
7200	8.455721e-02
7800	4.748145e-01
8400	2.560995e-03
9000	6.114521e-02
9600	3.799126e-03
10200	1.880128e+00
10800	1.300794e+00
11400	1.204276e+00
12000	1.575555e-02
12600	1.000158e+00
13200	1.000251e+00
13800	1.077275e-04
14400	9.403231e-01
15000	1.008621e+00
15600	1.465536e+00
16200	9.928340e-01
16800	1.465487e+00
17400	1.313237e-02
18000	2.086192e-02
18600	2.363564e-03
19200	9.009196e-01
19800	2.020222e-03
20400	6.394368e-03
21000	9.659766e-02
21600	2.361122e-04
22200	1.975741e+00
22800	1.783956e+00
23400	5.685293e-02
24000	2.063009e-02
24600	7.779187e-05
25200	4.328978e-05
25800	4.488285e-03
26400	6.607889e-03
27000	3.635385e-01
27600	1.122434e+00
28200	1.227377e+00
28800	7.501360e-02
29400	6.928487e-06
30000	1.712055e-03
30600	1.056137e-04
31200	1.228668e-03
31800	5.120269e-02
32400	2.363591e-06
33000	1.329415e-04
33600	6.802410e-01
34200	6.168020e-04
34800	5.637889e-03
35400	5.937287e-04
36000	3.187701e-04
36600	1.784582e+00
37200	1.269381e-02
37800	4.173961e-02
38400	1.227746e-05
39000	1.272135e-01
39600	3.696094e-05
40200	5.341058e-05
40800	9.114957e-05
41400	3.009509e-01
42000	6.626938e-01
42600	1.846819e-05
43200	9.410443e-03
43800	9.820109e-01
44400	7.073334e-06
45000	5.126858e-05
45600	2.883253e-05
46200	2.142839e-05
46800	5.087547e-08
47400	1.027988e-05
48000	1.327856e-06
48600	1.003695e+00
49200	7.423298e-03
49800	2.571383e-02
50400	1.386612e+00
51000	5.483881e-05
51600	5.216586e-03
52200	4.719461e-05
52800	8.101022e-07
53400	4.283238e-04
54000	2.136236e+00
54600	4.785894e-03
55200	5.821992e-01
55800	4.495824e-08
56400	9.393192e-03
57000	1.132825e+00
57600	1.442208e-08
58200	6.889100e-05
58800	1.076616e+00
59400	9.987455e-01
60000	1.360177e-05
60600	1.291469e-04
61200	1.644930e-02
61800	1.212179e-05
62400	4.749477e-04
63000	9.395322e-07
63600	6.046205e-11
64200	6.050819e-03
64800	6.576421e-01
65400	3.614891e-04
66000	1.951983e-02
66600	1.094471e-02
67200	2.036145e-03
67800	2.336814e-03
68400	1.961608e-03
69000	8.765039e-05
69600	5.602184e-04
70200	1.941994e-02
70800	5.364254e-02
71400	8.216034e-09
72000	1.025147e+00
72600	7.914341e-04
73200	2.315007e-03
73800	6.864916e-04
74400	3.942376e-05
75000	1.899455e+00
75600	9.517665e-04
76200	6.477863e-10
76800	2.461873e-01
77400	2.111371e-03
78000	4.468011e-02
78600	2.656344e-07
79200	5.395046e-03
79800	1.142345e-06
80400	2.099062e-04
81000	2.668041e-03
81600	5.790318e-05
82200	8.238747e-01
82800	1.812712e+00
83400	3.084656e-05
84000	1.320191e-02
84600	3.451665e-04
85200	3.440015e-04
85800	6.457906e-01
86400	8.233807e-04
87000	5.590637e-06
87600	1.219839e-05
88200	1.166680e+00
88800	7.054947e-02
89400	2.659198e-04
90000	3.399147e-01
90600	1.107615e-09
91200	7.549057e-05
91800	3.183363e-05
92400	1.585803e-05
93000	3.861506e-05
93600	5.579426e-02
94200	4.152579e-02
94800	8.765772e-02
95400	6.053160e-06
96000	4.235519e-05
96600	4.861549e-03
97200	4.609905e-03
97800	4.482893e-04
98400	1.297690e+00
99000	9.415973e-04
99600	1.017022e-06
100200	2.651968e-08
100800	1.857555e-02
101400	9.968688e-01
102000	3.716884e-01
102600	1.396855e-04
103200	5.659095e-05
103800	7.890573e-08
104400	5.843236e-08
105000	1.561633e-06
105600	4.375033e-05
106200	9.557932e-06
106800	1.973277e-06
107400	3.613782e-03
108000	3.487814e-03
108600	1.063731e-01
109200	3.870971e-04
109800	2.279288e-04
110400	4.508534e-06
111000	1.513826e-04
111600	2.296312e-03
112200	4.602759e-03
112800	1.806041e-06
113400	6.493086e-01
114000	2.098555e+00
114600	2.863055e-04
115200	8.140637e-04
115800	1.019127e-07
116400	1.751502e-01
117000	1.703755e+00
117600	4.095192e-09
118200	1.225187e-04
118800	2.156485e-02
119400	5.167408e-01
120000	4.536895e-03
120600	4.972193e-06
121200	3.387906e-04
121800	2.068926e-03
122400	2.133360e-04
123000	1.022251e-04
123600	4.299928e-08
124200	4.376677e-05
124800	1.160372e+00
125400	2.032211e-04
126000	3.849574e-03
126600	1.318866e-04
127200	1.659654e-02
127800	3.413881e-07
128400	2.149368e-05
129000	6.871162e-04
129600	5.929022e-05
130200	2.441927e-05
130800	1.898379e-03
131400	9.091818e-09
132000	6.193201e-03
132600	1.918518e-03
133200	5.822125e-07
133800	9.685144e-01
134400	1.002804e-04
135000	1.607221e+00
135600	2.996910e-04
136200	2.470118e-11
136800	1.890388e+00
137400	8.301619e-03
138000	5.160925e-05
138600	1.211704e-09
139200	2.594992e-04
139800	6.309692e-07
140400	6.686314e-02
141000	1.002486e-03
141600	1.828070e-07
142200	8.067459e-02
142800	1.881517e+00
143400	2.392693e-04
144000	3.121382e-03
144600	6.406051e-04
145200	2.287332e-04
145800	1.008995e+00
146400	3.559029e-04
147000	3.963727e-04
147600	4.132014e-02
148200	1.353594e+00
148800	9.277346e-03
149400	2.540685e-07
150000	2.768050e-01
150600	5.858804e-02
151200	2.985168e-07
151800	2.117779e-06
152400	3.417463e-05
153000	6.506484e-03
153600	2.545090e-05
154200	5.380405e-06
154800	1.784418e-02
155400	1.293424e-06
156000	2.019565e-05
156600	1.985809e+00
157200	3.110766e-04
157800	5.667339e-04
158400	7.093632e-01
159000	6.594986e-04
159600	4.943250e-06
160200	6.093162e-07
160800	7.587306e-07
161400	1.154338e+00
162000	8.744998e-01
162600	2.603455e-05
163200	2.697196e-04
163800	8.534855e-06
164400	4.585299e-08
165000	8.247519e-08
165600	4.049265e-05
166200	1.174166e-10
166800	3.170431e-07
167400	3.434277e-04
168000	3.699056e-07
168600	1.003866e+00
169200	7.773735e-02
169800	1.596576e-07
170400	1.019594e+00
171000	1.020514e-07
171600	9.839827e-05
172200	2.894297e-04
172800	8.129062e-05
173400	4.378530e-03
174000	1.964522e+00
174600	2.104134e-01
175200	1.597118e-06
175800	6.835188e-01
176400	6.582435e-01
177000	1.000242e+00
177600	5.883590e-05
178200	1.205667e-01
178800	8.354719e-03
179400	3.105280e-02
180000	1.003499e-04
180600	2.140234e-04
181200	6.198689e-03
181800	4.367452e-05
182400	1.191040e-03
183000	2.711806e-07
183600	2.633307e-09
184200	1.827206e-04
184800	5.999578e-07
185400	7.554047e-04
186000	8.811765e-04
186600	1.453110e-05
187200	8.177404e-01
187800	3.516787e-04
188400	5.884592e-05
189000	2.512314e-04
189600	3.286153e-04
190200	2.675956e-05
190800	9.685673e-01
191400	4.231928e-12
192000	5.397795e-04
192600	1.088808e-06
193200	6.490674e-08
193800	9.582655e-01
194400	1.349081e-03
195000	1.584142e+00
195600	5.744229e-02
196200	6.276337e-09
196800	1.655172e+00
197400	8.633265e-07
198000	5.466882e-06
198600	2.177445e-07
199200	6.332777e-02
199800	2.466191e-07
200400	1.134524e-04
201000	5.157191e-06
201600	3.278379e-06
202200	4.559943e-01
202800	1.879979e+00
203400	1.182600e-05
204000	1.635068e-05
204600	1.208680e-07
205200	8.546507e-09
205800	6.373158e-01
206400	1.039571e-04
207000	1.018063e-08
207600	9.271902e-05
208200	1.497474e+00
208800	2.264651e-04
209400	6.211184e-08
210000	3.226998e-04
210600	4.843394e-07
211200	8.891846e-05
211800	2.791088e-06
212400	4.795090e-01
213000	4.889752e-05
213600	1.085992e-04
214200	8.647554e-06
214800	1.382517e-05
215400	2.230126e-07
216000	3.273888e-06
216600	1.969079e+00
217200	6.584670e-03
217800	8.509823e-04
218400	1.441968e-01
219000	1.278095e-03
219600	1.759598e-06
220200	9.303027e-05
220800	4.182792e-03
221400	4.904553e-01
222000	4.216852e-04
222600	1.976713e-05
223200	6.556712e-04
223800	2.442186e-01
224400	1.400578e-06
225000	3.395778e-07
225600	7.402043e-06
226200	4.370202e-03
226800	2.619864e-09
227400	1.827112e-05
228000	3.985094e-08
228600	1.864695e-01
229200	5.916734e-01
229800	7.253886e-06
230400	7.207325e-02
231000	4.017394e-08
231600	2.632802e-04
232200	3.564370e-05
232800	9.813648e-04
233400	5.794121e-03
234000	2.242295e+00
234600	3.002684e-07
235200	4.711187e-03
235800	8.202986e-06
236400	3.052943e-02
237000	1.003265e+00
237600	2.741179e-07
238200	6.756474e-04
238800	2.927231e-05
239400	3.636478e-05
240000	1.356494e-05
240600	5.672352e-01
241200	2.481547e-05
241800	7.853042e-05
242400	2.013481e-05
243000	5.622520e-12
243600	5.559224e-08
244200	9.070734e-08
244800	1.020840e+00
245400	2.541343e-05
246000	3.435473e-05
246600	4.930374e-07
247200	9.420187e-05
247800	3.669215e-04
248400	2.012701e-03
249000	3.404919e-03
249600	4.530155e-07
250200	5.783428e-05
250800	9.128617e-05
251400	2.275922e-02
252000	1.110203e+00
252600	1.263851e-03
